Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,0%,25%,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/v1/adminbasicservice/adminbasic/configs,10,0,130,2790.214209072292,18.7316183000803,7611.640160903335,191.0,0.08387887681757442,0.0,19,110,150,5100,7300,7300,7600,7600,7600,7600,7600,7600,7600
GET,/api/v1/adminbasicservice/adminbasic/prices,12,0,110,341.6985236884405,51.91558413207531,3012.28397898376,1685.0,0.1006546521810893,0.0,52,73,110,110,160,160,170,3000,3000,3000,3000,3000,3000
GET,/api/v1/assuranceservice/assurances/types,2,0,102.25558932870626,1092.6090478897095,102.25558932870626,2082.9625064507127,108.0,0.01677577536351488,0.0,100,100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100
GET,/api/v1/cancelservice/cancel/5ad7750b-a68b-49c0-a8c0-32776b067703/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,3,0,12000,10919.728639535606,391.206412576139,20485.14371458441,49.333333333333336,0.025163663045272323,0.0,390,390,12000,12000,20000,20000,20000,20000,20000,20000,20000,20000,20000
GET,/api/v1/cancelservice/cancel/8177ac5a-61ac-42f4-83f4-bd7b394d0531/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,1,0,668.5395501554012,668.5395501554012,668.5395501554012,668.5395501554012,66.0,0.00838788768175744,0.0,670,670,670,670,670,670,670,670,670,670,670,670,670
GET,/api/v1/cancelservice/cancel/d3c91694-d5b8-424c-9974-e14c89226e49/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,1,0,16214.021088555455,16214.021088555455,16214.021088555455,16214.021088555455,41.0,0.00838788768175744,0.0,16000,16000,16000,16000,16000,16000,16000,16000,16000,16000,16000,16000,16000
PUT,/api/v1/consignservice/consigns,8,0,4000,4800.978377228603,50.47675687819719,9209.26250424236,389.25,0.06710310145405952,0.0,50,3000,4600,5400,9100,9100,9200,9200,9200,9200,9200,9200,9200
GET,/api/v1/contactservice/contacts/account/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,2,0,780,1614.7946324199438,778.1486921012402,2451.4405727386475,459.0,0.01677577536351488,0.0,780,780,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500
GET,/api/v1/executeservice/execute/collected/5ad7750b-a68b-49c0-a8c0-32776b067703,3,0,5100,5022.924600169063,3133.2069020718336,6872.231103479862,47.333333333333336,0.025163663045272323,0.0,3100,3100,5100,5100,6900,6900,6900,6900,6900,6900,6900,6900,6900
GET,/api/v1/executeservice/execute/collected/8177ac5a-61ac-42f4-83f4-bd7b394d0531,4,0,1900,3419.486747821793,733.9464435353875,7162.054257467389,48.25,0.03355155072702976,0.0,730,1900,3800,3800,7200,7200,7200,7200,7200,7200,7200,7200,7200
GET,/api/v1/executeservice/execute/collected/d3c91694-d5b8-424c-9974-e14c89226e49,3,0,1000,2958.402724005282,958.9038379490376,6871.568852104247,51.0,0.025163663045272323,0.0,960,960,1000,1000,6900,6900,6900,6900,6900,6900,6900,6900,6900
GET,/api/v1/executeservice/execute/execute/5ad7750b-a68b-49c0-a8c0-32776b067703,3,0,1000,1242.1690154199798,964.8644607514143,1734.2806439846754,47.666666666666664,0.025163663045272323,0.0,960,960,1000,1000,1700,1700,1700,1700,1700,1700,1700,1700,1700
GET,/api/v1/executeservice/execute/execute/8177ac5a-61ac-42f4-83f4-bd7b394d0531,5,0,4900,3605.0999708473682,461.7979200556874,6474.692111834884,51.0,0.04193943840878721,0.0,460,900,4900,5200,5200,6500,6500,6500,6500,6500,6500,6500,6500
GET,/api/v1/executeservice/execute/execute/d3c91694-d5b8-424c-9974-e14c89226e49,1,0,737.7864830195904,737.7864830195904,737.7864830195904,737.7864830195904,51.0,0.00838788768175744,0.0,740,740,740,740,740,740,740,740,740,740,740,740,740
GET,/api/v1/foodservice/foods/2021-07-14/Shang%20Hai/Su%20Zhou/D1345,9,0,2200,3864.219608923627,417.5452636554837,14851.019207388163,1090.0,0.07549098913581698,0.0,420,1400,2200,3200,3900,6500,15000,15000,15000,15000,15000,15000,15000
POST,/api/v1/inside_pay_service/inside_payment,233,0,800,932.9705333632972,124.05846454203129,8327.0075423643,72.13304721030043,1.9543778298494838,0.0,120,600,800,980,1100,1200,1500,2100,2500,2700,8300,8300,8300
POST,/api/v1/orderOtherService/orderOther/refresh,54,0,9000,8746.0125339114,642.1736273914576,19142.13329181075,408.0,0.45294593481490186,0.0,640,5800,9000,10000,11000,13000,15000,18000,19000,19000,19000,19000,19000
