Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,0%,25%,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/v1/adminbasicservice/adminbasic/configs,21,0,12000,6817.2397762537,15.926935710012913,12832.78386760503,191.0,0.17605200412816166,0.0,16,110,12000,12000,12000,12000,13000,13000,13000,13000,13000,13000,13000
GET,/api/v1/adminbasicservice/adminbasic/prices,14,0,1600,4176.780843242471,40.61169549822807,12342.431615106761,1685.0,0.11736800275210776,0.0,41,110,1600,3300,12000,12000,12000,12000,12000,12000,12000,12000,12000
GET,/api/v1/assuranceservice/assurances/types,6,0,47,830.7231247114638,11.035701259970665,2864.984408020973,108.0,0.050300572608046185,0.0,11,12,74,74,2000,2000,2900,2900,2900,2900,2900,2900,2900
GET,/api/v1/cancelservice/cancel/5ad7750b-a68b-49c0-a8c0-32776b067703/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,2,0,1800,9764.831855427474,1760.667779482901,17768.995931372046,53.5,0.016766857536015395,0.0,1800,1800,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000
GET,/api/v1/cancelservice/cancel/8177ac5a-61ac-42f4-83f4-bd7b394d0531/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,5,0,1500,5525.863061472774,183.24962724000216,23310.500100255013,61.0,0.04191714384003849,0.0,180,980,1500,1600,1600,23000,23000,23000,23000,23000,23000,23000,23000
GET,/api/v1/cancelservice/cancel/d3c91694-d5b8-424c-9974-e14c89226e49/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,3,0,23000,16344.094274876019,581.6636979579926,25010.06810646504,49.333333333333336,0.025150286304023092,0.0,580,580,23000,23000,25000,25000,25000,25000,25000,25000,25000,25000,25000
PUT,/api/v1/consignservice/consigns,10,0,870,4042.2402262687683,31.60056658089161,10759.814681485295,390.0,0.08383428768007697,0.0,32,120,1500,6800,10000,10000,11000,11000,11000,11000,11000,11000,11000
GET,/api/v1/contactservice/contacts/account/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,6,0,1200,2108.8174685525396,797.2723143175244,4000.779830850661,459.0,0.050300572608046185,0.0,800,1000,2600,2600,3000,3000,4000,4000,4000,4000,4000,4000,4000
GET,/api/v1/executeservice/execute/collected/5ad7750b-a68b-49c0-a8c0-32776b067703,1,0,2353.2456532120705,2353.2456532120705,2353.2456532120705,2353.2456532120705,51.0,0.008383428768007697,0.0,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400
GET,/api/v1/executeservice/execute/collected/8177ac5a-61ac-42f4-83f4-bd7b394d0531,2,0,1635.3927627205849,2695.3242286108434,1635.3927627205849,3755.255694501102,51.0,0.016766857536015395,0.0,1600,1600,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800
GET,/api/v1/executeservice/execute/collected/d3c91694-d5b8-424c-9974-e14c89226e49,2,0,4500,4959.321533795446,4459.743165411055,5458.899902179837,51.0,0.016766857536015395,0.0,4500,4500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500
