Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,0%,25%,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/v1/adminbasicservice/adminbasic/configs,15,0,100,1589.8026218016942,16.807417385280132,7486.890848726034,191.0,0.12572494958721991,0.0,17,93,100,190,610,7100,7300,7500,7500,7500,7500,7500,7500
GET,/api/v1/adminbasicservice/adminbasic/prices,12,0,100,1291.7832938643794,17.70942099392414,7492.184153757989,1685.0,0.10057995966977593,0.0,18,39,100,110,280,280,7100,7500,7500,7500,7500,7500,7500
GET,/api/v1/assuranceservice/assurances/types,10,0,53,1440.1988269761205,8.415721356868744,3713.288406841457,108.0,0.08381663305814661,0.0,8,12,1100,2700,3100,3700,3700,3700,3700,3700,3700,3700,3700
GET,/api/v1/cancelservice/cancel/5ad7750b-a68b-49c0-a8c0-32776b067703/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,2,0,20406.063760630786,21195.327726658434,20406.063760630786,21984.59169268608,41.0,0.016763326611629322,0.0,20000,20000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000
GET,/api/v1/cancelservice/cancel/8177ac5a-61ac-42f4-83f4-bd7b394d0531/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,1,0,23196.145748719573,23196.145748719573,23196.145748719573,23196.145748719573,41.0,0.008381663305814661,0.0,23000,23000,23000,23000,23000,23000,23000,23000,23000,23000,23000,23000,23000
GET,/api/v1/cancelservice/cancel/d3c91694-d5b8-424c-9974-e14c89226e49/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,3,0,20000,20257.403006466728,18889.43271804601,21791.415150277317,41.0,0.02514498991744398,0.0,19000,19000,20000,20000,22000,22000,22000,22000,22000,22000,22000,22000,22000
PUT,/api/v1/consignservice/consigns,13,0,4900,3693.183447449253,34.186992794275284,9263.93214147538,388.7692307692308,0.10896162297559059,0.0,34,120,4900,5800,6400,7200,8500,9300,9300,9300,9300,9300,9300
GET,/api/v1/contactservice/contacts/account/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,10,0,3400,2796.64720101282,13.817021623253822,4812.825008295476,459.0,0.08381663305814661,0.0,14,210,3800,4000,4100,4400,4800,4800,4800,4800,4800,4800,4800
GET,/api/v1/executeservice/execute/collected/5ad7750b-a68b-49c0-a8c0-32776b067703,2,0,920,3540.456222835928,915.3192704543471,6165.593175217509,51.0,0.016763326611629322,0.0,920,920,6200,6200,6200,6200,6200,6200,6200,6200,6200,6200,6200
GET,/api/v1/executeservice/execute/collected/8177ac5a-61ac-42f4-83f4-bd7b394d0531,1,0,4342.352745123208,4342.352745123208,4342.352745123208,4342.352745123208,51.0,0.008381663305814661,0.0,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300
GET,/api/v1/executeservice/execute/collected/d3c91694-d5b8-424c-9974-e14c89226e49,1,0,5870.0595600530505,5870.0595600530505,5870.0595600530505,5870.0595600530505,51.0,0.008381663305814661,0.0,5900,5900,5900,5900,5900,5900,5900,5900,5900,5900,5900,5900,5900
GET,/api/v1/executeservice/execute/execute/5ad7750b-a68b-49c0-a8c0-32776b067703,2,0,911.1638814210892,2010.9349857084453,911.1638814210892,3110.7060899958014,51.0,0.016763326611629322,0.0,910,910,3100,3100,3100,3100,3100,3100,3100,3100,3100,3100,3100
GET,/api/v1/foodservice/foods/2021-07-14/Shang%20Hai/Su%20Zhou/D1345,24,0,4100,6573.492388667849,105.71514070034027,20293.171514756978,1090.0,0.20115991933955185,0.0,110,890,4100,4700,18000,18000,20000,20000,20000,20000,20000,20000,20000
POST,/api/v1/inside_pay_service/inside_payment,453,0,420,619.8598559386617,24.7101578861475,4857.171434909105,72.0,3.7968934775340415,0.0,25,270,420,600,730,880,1300,1800,2600,3300,4900,4900,4900
POST,/api/v1/orderOtherService/orderOther/refresh,68,0,2100,3253.460265819312,347.6945897564292,11906.898043118417,408.0,0.569953104795397,0.0,350,1300,2100,3200,4600,5400,8400,9800,10000,12000,12000,12000,12000
POST,/api/v1/orderservice/order/refresh,72,0,1700,5397.895704385721,330.4633228108287,19507.61198811233,1348.0,0.6034797580186556,0.0,330,1100,1700,2700,13000,13000,15000,18000,19000,20000,20000,20000,20000
POST,/api/v1/rebookservice/rebook,21,0,700,1474.2949180571097,96.91246319562197,5856.916578486562,83.42857142857143,0.1760149294221079,0.0,97,500,700,1200,1400,1500,5100,5100,5900,5900,5900,5900,5900
GET,/api/v1/routeservice/routes/92708982-77af-4318-be25-57ccb0ff69ad,11,11,2,3.296932628886266,1.7474666237831116,14.677301049232483,175.0,0.09219829636396126,0.09219829636396126,2,2,2,2,2,2,2,15,15,15,15,15,15
