Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,0%,25%,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/v1/adminbasicservice/adminbasic/configs,13,0,580,3118.9718034404973,18.81566271185875,8971.108676865697,191.0,0.10900200985601655,0.0,19,180,580,4200,7200,7600,8800,9000,9000,9000,9000,9000,9000
GET,/api/v1/adminbasicservice/adminbasic/prices,11,0,120,2036.712826737626,21.61361835896969,8777.799258939922,1685.0,0.09223246987816784,0.0,22,81,120,1700,2700,2700,7600,8800,8800,8800,8800,8800,8800
GET,/api/v1/assuranceservice/assurances/types,5,0,67,574.908378534019,12.066270224750042,2174.31004345417,108.0,0.04192384994462175,0.0,12,48,67,570,570,2200,2200,2200,2200,2200,2200,2200,2200
GET,/api/v1/cancelservice/cancel/5ad7750b-a68b-49c0-a8c0-32776b067703/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,3,0,24000,17241.466533392668,1359.4771353527904,26081.161856651306,49.333333333333336,0.02515430996677305,0.0,1400,1400,24000,24000,26000,26000,26000,26000,26000,26000,26000,26000,26000
GET,/api/v1/cancelservice/cancel/8177ac5a-61ac-42f4-83f4-bd7b394d0531/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,2,0,1810.2815607562661,13897.41607150063,1810.2815607562661,25984.550582244992,53.5,0.016769539977848698,0.0,1800,1800,26000,26000,26000,26000,26000,26000,26000,26000,26000,26000,26000
GET,/api/v1/cancelservice/cancel/d3c91694-d5b8-424c-9974-e14c89226e49/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,1,0,600.3460651263595,600.3460651263595,600.3460651263595,600.3460651263595,66.0,0.008384769988924349,0.0,600,600,600,600,600,600,600,600,600,600,600,600,600
PUT,/api/v1/consignservice/consigns,15,0,170,2445.41267255942,67.23747029900551,8850.631587207317,389.3333333333333,0.12577154983386524,0.0,67,110,170,1200,6900,6900,7500,8900,8900,8900,8900,8900,8900
GET,/api/v1/contactservice/contacts/account/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,5,0,520,986.556494422257,324.55028407275677,2984.694741666317,459.0,0.04192384994462175,0.0,320,470,520,630,630,3000,3000,3000,3000,3000,3000,3000,3000
GET,/api/v1/executeservice/execute/collected/5ad7750b-a68b-49c0-a8c0-32776b067703,3,0,1100,1132.8485005845625,114.61334209889174,2180.9960724785924,47.333333333333336,0.02515430996677305,0.0,110,110,1100,1100,2200,2200,2200,2200,2200,2200,2200,2200,2200
GET,/api/v1/executeservice/execute/collected/8177ac5a-61ac-42f4-83f4-bd7b394d0531,3,0,3300,3426.1726246525845,3284.983629360795,3685.431882739067,47.333333333333336,0.02515430996677305,0.0,3300,3300,3300,3300,3700,3700,3700,3700,3700,3700,3700,3700,3700
