Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,0%,25%,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/v1/adminbasicservice/adminbasic/configs,6,0,3000,3509.802019999673,101.47503018379211,6524.751513265073,191.0,0.050319428329385636,0.0,100,2900,3100,3100,5400,5400,6500,6500,6500,6500,6500,6500,6500
GET,/api/v1/adminbasicservice/adminbasic/prices,5,0,3600,3833.271618373692,2118.2144032791257,7015.583426691592,1685.0,0.04193285694115469,0.0,2100,2800,3600,3600,3600,7000,7000,7000,7000,7000,7000,7000,7000
GET,/api/v1/assuranceservice/assurances/types,1,0,2590.420976281166,2590.420976281166,2590.420976281166,2590.420976281166,108.0,0.00838657138823094,0.0,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600
GET,/api/v1/cancelservice/cancel/8177ac5a-61ac-42f4-83f4-bd7b394d0531/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,1,0,18104.50362227857,18104.50362227857,18104.50362227857,18104.50362227857,41.0,0.00838657138823094,0.0,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000
GET,/api/v1/cancelservice/cancel/d3c91694-d5b8-424c-9974-e14c89226e49/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,4,0,21000,22697.93272111565,20201.99813414365,24704.911019653082,41.0,0.03354628555292376,0.0,20000,21000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000
PUT,/api/v1/consignservice/consigns,9,0,180,3143.1624011860954,102.39768121391535,8213.961084373295,390.22222222222223,0.07547914249407846,0.0,100,110,180,5100,6800,7500,8200,8200,8200,8200,8200,8200,8200
GET,/api/v1/executeservice/execute/collected/5ad7750b-a68b-49c0-a8c0-32776b067703,1,0,5272.690531797707,5272.690531797707,5272.690531797707,5272.690531797707,51.0,0.00838657138823094,0.0,5300,5300,5300,5300,5300,5300,5300,5300,5300,5300,5300,5300,5300
GET,/api/v1/executeservice/execute/collected/8177ac5a-61ac-42f4-83f4-bd7b394d0531,2,0,484.3047996982932,1046.3168900460005,484.3047996982932,1608.3289803937078,51.0,0.01677314277646188,0.0,480,480,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600
GET,/api/v1/executeservice/execute/collected/d3c91694-d5b8-424c-9974-e14c89226e49,2,0,1408.8161932304502,1442.0269997790456,1408.8161932304502,1475.237806327641,51.0,0.01677314277646188,0.0,1400,1400,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500
GET,/api/v1/executeservice/execute/execute/5ad7750b-a68b-49c0-a8c0-32776b067703,5,0,1900,2148.5200814902782,605.7452065870166,4674.096147529781,51.0,0.04193285694115469,0.0,610,610,1900,3000,3000,4700,4700,4700,4700,4700,4700,4700,4700
