Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,33,33,5003.0967900002,5012.139299515019,5003.0967900002,5039.917537000292,0.0,1.113304788663733,1.113304788663733,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
,Aggregated,33,33,5003.0967900002,5012.139299515019,5003.0967900002,5039.917537000292,0.0,1.113304788663733,1.113304788663733,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
