Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,988,0,8,9.322691637162979,5.691750906407833,51.66408512741327,11447.0,8.287017917064228,0.0,8,9,10,10,13,15,21,27,52,52,52
GET,/api/products,599,0,7,8.143517666827508,5.008132662624121,59.05801570042968,6136.0,5.024214303969101,0.0,7,8,8,9,11,13,16,17,59,59,59
GET,/cart,292,0,8,8.493473585886395,5.8988649398088455,20.352862309664488,9400.0,2.44919962731048,0.0,8,8,9,9,11,13,14,17,20,20,20
POST,/cart,313,0,8,8.949781995647536,5.806128028780222,36.37866070494056,9400.0,2.6253406963978776,0.0,8,8,9,9,11,15,22,28,36,36,36
,Aggregated,2192,0,8,8.836752952401097,5.008132662624121,59.05801570042968,9430.702554744526,18.385772544741688,0.0,8,8,9,10,12,14,19,24,52,59,59
