Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,11921,0,460,548.642317554892,6.172799039632082,2085.629713954404,10541.276738528646,99.67941414307771,0.0,460,670,810,920,1200,1400,1700,1800,2000,2100,2100
POST,/cart,1301,0,290,367.9439391853856,8.71671992354095,1734.540109988302,17481.443504996158,10.878526784677804,0.0,290,430,510,570,780,1000,1200,1400,1700,1700,1700
POST,/cart/checkout,703,0,170,202.5073931315996,8.450944907963276,1084.661500994116,6804.526315789473,5.878250829845117,0.0,170,220,270,300,430,500,660,840,1100,1100,1100
GET,/product/0PUK6V6EV0,229,0,200,257.4351602813481,5.835950840264559,1008.7941528763622,7999.371179039302,1.914821394074725,0.0,200,290,300,390,500,710,890,920,1000,1000,1000
GET,/product/1YMWWN1N4O,221,0,190,209.6152810287152,6.172575987875462,904.4641160871834,8022.380090497738,1.8479280702642542,0.0,190,270,300,310,400,500,690,720,900,900,900
GET,/product/2ZYFJ3GM2N,207,0,210,264.46419374022975,6.043098866939545,925.5309300497174,8020.811594202899,1.7308647535959303,0.0,210,300,380,400,550,700,830,900,930,930,930
GET,/product/66VCHSJNUP,233,0,200,239.2303500106646,6.375220138579607,925.5909828934819,7980.656652360515,1.9482680559799603,0.0,200,290,370,390,500,660,790,810,930,930,930
GET,/product/6E92ZMYYFZ,211,0,190,226.66396501350494,5.894094007089734,1005.2892381791025,7977.123222748815,1.7643114155011657,0.0,190,270,300,390,500,600,800,800,1000,1000,1000
GET,/product/9SIQT8TOJO,211,0,200,251.4712966799789,6.310870172455907,924.6629469562322,8022.862559241707,1.7643114155011657,0.0,200,300,330,400,520,700,730,800,920,920,920
GET,/product/L9ECAV7KIM,206,0,200,248.15340627898073,5.675292108207941,930.6746351066977,7982.097087378641,1.7225030881196215,0.0,210,300,360,390,490,600,700,790,930,930,930
GET,/product/LS4PSXUNUM,226,0,200,244.225326065279,5.619738949462771,1019.3431561347097,7988.725663716814,1.8897363976457984,0.0,200,290,310,380,510,620,730,790,1000,1000,1000
GET,/product/OLJCESPC7Z,216,0,210,262.5248675941731,5.421546986326575,929.5776968356222,8018.574074074074,1.80611974288271,0.0,210,300,380,400,510,690,770,820,930,930,930
,Aggregated,15885,0,360,481.0255999555521,5.421546986326575,2085.629713954404,10630.901857097891,132.82505609116595,0.0,360,570,710,810,1100,1300,1600,1700,2000,2100,2100
