Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,993,0,17,22.599480141841497,10.850179009139538,896.6599740087986,10548.296072507554,8.319454698557456,0.0,17,17,18,18,21,42,91,110,900,900,900
POST,/cart,123,0,24,25.130024935096138,18.337833927944303,86.76332794129848,18297.10569105691,1.0305064732352134,0.0,24,24,25,26,27,33,49,51,87,87,87
POST,/cart/checkout,53,0,23,79.27632972352066,18.926956923678517,1006.8174249026924,6804.2830188679245,0.4440393746460676,0.0,23,24,25,25,30,1000,1000,1000,1000,1000,1000
GET,/product/0PUK6V6EV0,17,0,15,15.425580498926779,13.892648043110967,20.76209196820855,7998.058823529412,0.1424277239430783,0.0,15,16,16,16,17,21,21,21,21,21,21
GET,/product/1YMWWN1N4O,16,0,16,16.01228666550014,11.69447205029428,26.4727589674294,8028.9375,0.1340496225346619,0.0,16,16,17,17,18,26,26,26,26,26,26
GET,/product/2ZYFJ3GM2N,15,0,15,19.524499168619514,12.193058151751757,74.27790109068155,8022.4,0.12567152112624555,0.0,15,16,16,16,28,74,74,74,74,74,74
GET,/product/66VCHSJNUP,25,0,15,16.187417656183243,11.430033016949892,50.209642853587866,7993.76,0.20945253521040924,0.0,15,15,16,17,18,18,50,50,50,50,50
GET,/product/6E92ZMYYFZ,12,0,16,16.717653527545433,12.653344077989459,24.688578909263015,7978.583333333333,0.10053721690099644,0.0,16,17,19,19,22,25,25,25,25,25,25
GET,/product/9SIQT8TOJO,17,0,16,16.379812855602186,13.317231088876724,33.31184503622353,8035.529411764706,0.1424277239430783,0.0,16,16,16,16,19,33,33,33,33,33,33
GET,/product/L9ECAV7KIM,28,0,15,17.53667910816148,11.855137068778276,70.4764740075916,7994.785714285715,0.23458683943565836,0.0,15,16,16,16,17,28,70,70,70,70,70
GET,/product/LS4PSXUNUM,17,0,15,16.352460856604225,11.66751398704946,41.57242481596768,8000.058823529412,0.1424277239430783,0.0,15,16,16,16,17,42,42,42,42,42,42
GET,/product/OLJCESPC7Z,12,0,15,19.222937679539125,12.99949106760323,57.65204201452434,8030.583333333333,0.10053721690099644,0.0,16,17,18,18,21,58,58,58,58,58,58
,Aggregated,1328,0,17,24.4191788176933,10.850179009139538,1006.8174249026924,10812.355421686747,11.12611867037694,0.0,17,18,20,21,25,42,87,110,1000,1000,1000
