Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,0%,25%,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/v1/preserveotherservice/preserveOther,3,0,23000,19998.59177165975,12915.901854634285,24540.253252722323,46.0,0.025140747863858153,0.0,13000,13000,23000,23000,25000,25000,25000,25000,25000,25000,25000,25000,25000
POST,/api/v1/preserveservice/preserve,2,0,12000,17294.95096532628,11515.38228429854,23074.51964635402,46.0,0.016760498575905433,0.0,12000,12000,23000,23000,23000,23000,23000,23000,23000,23000,23000,23000,23000
POST,/api/v1/rebookservice/rebook,14,0,510,1160.2072693806674,73.52699711918831,5021.192177198827,96.5,0.11732349003133805,0.0,74,200,580,660,730,2600,4200,5000,5000,5000,5000,5000,5000
GET,/api/v1/routeservice/routes/92708982-77af-4318-be25-57ccb0ff69ad,9,9,4,4.025333664483494,2.3929644376039505,7.606088183820248,175.0,0.07542224359157446,0.07542224359157446,2,3,4,4,4,5,8,8,8,8,8,8,8
POST,/api/v1/travel2service/trips/left,9,0,15000,21672.892393440838,7572.66064081341,37473.35443459451,344.0,0.07542224359157446,0.0,7600,13000,15000,28000,35000,36000,37000,37000,37000,37000,37000,37000,37000
POST,/api/v1/travelplanservice/travelPlan/quickest,10,3,42000,43256.996911391616,22810.47421693802,60009.33138187975,652.6,0.08380249287952718,0.025140747863858153,23000,28000,45000,56000,60000,60000,60000,60000,60000,60000,60000,60000,60000
POST,/api/v1/travelservice/trips/left,3,0,6800,16233.50271768868,5646.330110728741,36227.8164094314,327.0,0.025140747863858153,0.0,5600,5600,6800,6800,36000,36000,36000,36000,36000,36000,36000,36000,36000
POST,/api/v1/travelservice/trips/left_parallel,8,8,15,220.14892427250743,7.966800592839718,834.5440644770861,245.0,0.06704199430362173,0.06704199430362173,8,9,31,120,730,730,830,830,830,830,830,830,830
POST,/api/v1/users/login,149,34,44000,37587.29357178004,7109.50971301645,76473.11971336603,418.8859060402685,1.248657143904955,0.2849284757903924,7100,14000,44000,55000,60000,60000,60000,62000,73000,75000,76000,76000,76000
,Aggregated,921,54,710,8029.187251223164,2.3929644376039505,76473.11971336603,271.6373507057546,7.718209594204453,0.45253346154944674,2,310,710,1500,3300,8900,34000,60000,60000,61000,76000,76000,76000
