user_level,energy_source,throughput_mean,cpu_mean,cpu_max,energy_total,energy_per_request,p95_latency,error_rate
20,joules,10.041666666666666,0.4951767741746121,0.6036131313472383,13.428974578582594,0.013219323061037996,21.9375,0.0
40,joules,19.119791666666668,0.4065759581385745,0.44747634412800613,11.120382939103306,0.005749115329308987,380.90625,0.0
60,joules,28.48229166666667,0.4052351652181179,0.4305182874764405,10.018488038953123,0.0034779780818532755,26.104166666666668,0.0
80,joules,36.10421052631579,0.4032346575882991,0.4286576765592899,10.813573456028665,0.002960131105046196,29.410526315789475,0.0
100,joules,42.67291666666667,0.3968656443070947,0.4317504548003512,10.25199953609626,0.0023760323123878414,27.71875,0.0
150,joules,55.18000000000001,0.3957518044882447,0.4191036368853812,10.23961341114371,0.0018356854459614593,26.263157894736842,0.0
200,joules,60.90526315789474,0.479981888175245,0.4995097637057958,17.290960524837484,0.0028084885413199633,28.83157894736842,0.0
300,joules,61.01578947368421,0.4252854634152308,0.497949581421012,10.812460879751692,0.0017531781617548758,28.357894736842105,0.0
500,joules,61.578947368421055,0.41226772868461964,0.4433439429308376,11.12867606756298,0.0017876069015395138,44.90526315789474,0.0
