Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,1901,0,72,88.60236176018697,9.661202318966389,866.2109430879354,10259.247764334561,15.90360347057527,0.0,72,89,99,100,150,230,410,500,860,870,870
POST,/cart,216,0,80,89.71068853322693,16.695596277713776,677.0073072984815,17637.74537037037,1.8070375326902988,0.0,81,100,110,120,150,190,280,310,680,680,680
POST,/cart/checkout,116,0,67,71.60641912948982,18.618307076394558,267.7851924672723,6555.862068965517,0.9704460823707161,0.0,67,83,98,100,140,150,190,190,270,270,270
GET,/product/0PUK6V6EV0,26,0,53,55.60677731409669,11.50511484593153,103.62782143056393,7727.423076923077,0.21751377708309153,0.0,63,79,94,98,100,100,100,100,100,100,100
GET,/product/1YMWWN1N4O,28,0,46,56.67059040362282,11.120414361357689,201.66970882564783,7747.5,0.2342456060894832,0.0,60,92,96,97,100,100,200,200,200,200,200
GET,/product/2ZYFJ3GM2N,27,0,62,62.00495317440342,11.05635054409504,127.46362015604973,7760.7037037037035,0.22587969158628735,0.0,62,96,98,98,100,100,130,130,130,130,130
GET,/product/66VCHSJNUP,47,0,96,69.70136792973635,11.645075865089893,118.84274799376726,7710.702127659574,0.3931979816502039,0.0,96,98,100,100,100,100,120,120,120,120,120
GET,/product/6E92ZMYYFZ,32,0,66,70.3462487726938,11.493291705846786,304.3865831568837,7715.125,0.2677092641022665,0.0,91,96,99,100,100,100,300,300,300,300,300
GET,/product/9SIQT8TOJO,23,0,96,82.35253851212885,15.41822124272585,202.99990754574537,7760.347826086957,0.19241603357350404,0.0,96,99,100,100,110,150,200,200,200,200,200
GET,/product/L9ECAV7KIM,44,0,59,63.63942376761274,10.725478641688824,203.64174898713827,7735.113636363636,0.36810023814061643,0.0,59,96,98,100,100,100,200,200,200,200,200
GET,/product/LS4PSXUNUM,43,0,61,62.98200851089732,9.554261341691017,145.64440492540598,7716.6511627906975,0.3597343236374206,0.0,61,96,98,98,100,100,150,150,150,150,150
GET,/product/OLJCESPC7Z,30,0,95,73.23059091965358,10.916434228420258,195.79215813428164,7750.566666666667,0.25097743509587483,0.0,96,99,100,100,100,100,200,200,200,200,200
,Aggregated,2533,0,72,85.2546628124856,9.554261341691017,866.2109430879354,10419.620213185946,21.190861436595032,0.0,72,91,99,100,140,200,380,490,840,870,870
