Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,5761,0,10,14.78886483581483,5.200895480811596,245.35549990832806,11447.0,48.227366465790105,0.0,10,12,14,16,24,36,72,100,210,250,250
GET,/api/products,3786,0,12,16.924828957329414,5.457060411572456,234.2664310708642,6136.0,31.693943662468552,0.0,12,14,17,19,27,42,70,110,220,230,230
GET,/cart,1985,0,10,15.110831324395814,5.0742896273732185,241.5027180686593,9400.0,16.617136336502927,0.0,10,12,14,16,25,39,78,100,240,240,240
POST,/cart,1969,0,10,14.27484321781165,5.19197341054678,247.34574928879738,9400.0,16.483194683412727,0.0,10,12,14,16,24,34,54,82,240,250,250
,Aggregated,13501,0,11,15.36021177885899,5.0742896273732185,247.34574928879738,9358.170728094216,113.02164114817431,0.0,11,13,15,17,25,37,70,100,220,250,250
