Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,0%,25%,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/v1/adminbasicservice/adminbasic/configs,11,0,90,537.4712544408711,14.784958213567734,5035.866047255695,191.0,0.09222769614426057,0.0,15,19,90,130,200,200,200,5000,5000,5000,5000,5000,5000
GET,/api/v1/adminbasicservice/adminbasic/prices,20,0,93,377.75302045047283,15.42829629033804,5695.220807567239,1685.0,0.16768672026229195,0.0,15,25,93,110,130,190,320,5700,5700,5700,5700,5700,5700
GET,/api/v1/assuranceservice/assurances/types,12,0,16,616.1076066394647,8.137496188282967,3133.7822610512376,108.0,0.10061203215737517,0.0,8,12,64,65,1700,1700,2300,3100,3100,3100,3100,3100,3100
GET,/api/v1/cancelservice/cancel/4b9e6ef3-61dc-4ac7-87ae-ace5ebd0d55d/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,1,0,3183.149494230747,3183.149494230747,3183.149494230747,3183.149494230747,41.0,0.008384336013114597,0.0,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200
GET,/api/v1/cancelservice/cancel/5ad7750b-a68b-49c0-a8c0-32776b067703/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,2,0,19064.244373701513,19159.657407552004,19064.244373701513,19255.070441402495,41.0,0.016768672026229194,0.0,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000
GET,/api/v1/cancelservice/cancel/5bd04353-c95a-4c7b-85b6-0bc57e915b70/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,1,0,2066.765921190381,2066.765921190381,2066.765921190381,2066.765921190381,41.0,0.008384336013114597,0.0,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100
GET,/api/v1/cancelservice/cancel/8177ac5a-61ac-42f4-83f4-bd7b394d0531/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,1,0,20631.36924430728,20631.36924430728,20631.36924430728,20631.36924430728,41.0,0.008384336013114597,0.0,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000
GET,/api/v1/cancelservice/cancel/97760243-b2ce-4440-bd35-12aabf56f31b/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,1,0,3681.866940110922,3681.866940110922,3681.866940110922,3681.866940110922,41.0,0.008384336013114597,0.0,3700,3700,3700,3700,3700,3700,3700,3700,3700,3700,3700,3700,3700
GET,/api/v1/cancelservice/cancel/d3c91694-d5b8-424c-9974-e14c89226e49/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,1,0,19596.40420321375,19596.40420321375,19596.40420321375,19596.40420321375,41.0,0.008384336013114597,0.0,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000
GET,/api/v1/cancelservice/cancel/f833347b-0f81-44b4-8909-ce0746377a79/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,1,0,3231.4740419387817,3231.4740419387817,3231.4740419387817,3231.4740419387817,41.0,0.008384336013114597,0.0,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200
