model_variant,service_name,service_group,container_count,mapped_container_count,raw_energy_joules,allocated_energy_joules,mapped,workload_level,workload_region,users,duration_seconds,total_requests,successful_requests,throughput_mean_rps,error_rate,p95_latency,joules_per_request,joules_per_successful_request,share_of_reference_energy
M1,accounting,primary_application,1,1,1.9270765909090908,1.9270765909090908,True,medium,medium,150,121.09829807281494,7858.0,7858.0,65.78337634934388,0.0,44.0,0.00024523754020222587,0.00024523754020222587,0.006847701256464926
M1,ad,primary_application,1,1,0.46899477272727286,0.46899477272727286,True,medium,medium,150,121.09829807281494,7858.0,7858.0,65.78337634934388,0.0,44.0,5.9683732848978474e-05,5.9683732848978474e-05,0.001666532669033668
M1,cart,primary_application,1,1,2.124292727272727,2.124292727272727,True,medium,medium,150,121.09829807281494,7858.0,7858.0,65.78337634934388,0.0,44.0,0.00027033503783058374,0.00027033503783058374,0.007548491869117923
M1,checkout,primary_application,1,1,4.095325227272727,4.095325227272727,True,medium,medium,150,121.09829807281494,7858.0,7858.0,65.78337634934388,0.0,44.0,0.0005211663562322127,0.0005211663562322127,0.014552386675611331
M1,currency,primary_application,1,1,0.18651240909090908,0.18651240909090908,True,medium,medium,150,121.09829807281494,7858.0,7858.0,65.78337634934388,0.0,44.0,2.3735353663897822e-05,2.3735353663897822e-05,0.0006627558365366335
M1,email,primary_application,1,1,0.2524885909090909,0.2524885909090909,True,medium,medium,150,121.09829807281494,7858.0,7858.0,65.78337634934388,0.0,44.0,3.213140632592147e-05,3.213140632592147e-05,0.0008971965356060952
M1,flagd,primary_application,1,1,0.1365176363636364,0.1365176363636364,True,medium,medium,150,121.09829807281494,7858.0,7858.0,65.78337634934388,0.0,44.0,1.737307665610033e-05,1.737307665610033e-05,0.0004851037029181552
M1,fraud-detection,primary_application,1,1,1.9180696818181817,1.9180696818181817,True,medium,medium,150,121.09829807281494,7858.0,7858.0,65.78337634934388,0.0,44.0,0.00024409133135889306,0.00024409133135889306,0.006815695978112399
M1,frontend,primary_application,1,1,49.20082568181818,49.20082568181818,True,medium,medium,150,121.09829807281494,7858.0,7858.0,65.78337634934388,0.0,44.0,0.006261240224206946,0.006261240224206946,0.1748309109403695
M1,frontend-proxy,primary_application,1,1,8.148859136363635,8.148859136363635,True,medium,medium,150,121.09829807281494,7858.0,7858.0,65.78337634934388,0.0,44.0,0.0010370143976029058,0.0010370143976029058,0.028956271489193417
M1,image-provider,primary_application,1,1,0.09223136363636363,0.09223136363636363,True,medium,medium,150,121.09829807281494,7858.0,7858.0,65.78337634934388,0.0,44.0,1.1737256762072236e-05,1.1737256762072236e-05,0.0003277362340643963
M1,kafka,primary_application,1,1,4.429160772727273,4.429160772727273,True,medium,medium,150,121.09829807281494,7858.0,7858.0,65.78337634934388,0.0,44.0,0.0005636498819963442,0.0005636498819963442,0.015738642631833253
M1,llm,primary_application,1,1,2.177590954545454,2.177590954545454,True,medium,medium,150,121.09829807281494,7858.0,7858.0,65.78337634934388,0.0,44.0,0.00027711770864665997,0.00027711770864665997,0.007737882544913862
M1,load-generator,primary_application,1,1,64.9243125909091,64.9243125909091,True,medium,medium,150,121.09829807281494,7858.0,7858.0,65.78337634934388,0.0,44.0,0.008262192999606656,0.008262192999606656,0.23070297205683968
M1,payment,primary_application,1,1,0.6193350454545454,0.6193350454545454,True,medium,medium,150,121.09829807281494,7858.0,7858.0,65.78337634934388,0.0,44.0,7.881586223651634e-05,7.881586223651634e-05,0.0022007539238132552
M1,postgresql,primary_application,1,1,0.7858945,0.7858945,True,medium,medium,150,121.09829807281494,7858.0,7858.0,65.78337634934388,0.0,44.0,0.00010001202596080428,0.00010001202596080428,0.002792608649021127
M1,product-catalog,primary_application,1,1,51.89493354545455,51.89493354545455,True,medium,medium,150,121.09829807281494,7858.0,7858.0,65.78337634934388,0.0,44.0,0.0066040892778639025,0.0066040892778639025,0.18440419198685445
M1,product-reviews,primary_application,1,1,1.928981181818181,1.928981181818181,True,medium,medium,150,121.09829807281494,7858.0,7858.0,65.78337634934388,0.0,44.0,0.00024547991624054226,0.00024547991624054226,0.006854469056781091
M1,quote,primary_application,1,1,0.08765049999999999,0.08765049999999999,True,medium,medium,150,121.09829807281494,7858.0,7858.0,65.78337634934388,0.0,44.0,1.1154301348943751e-05,1.1154301348943751e-05,0.0003114585283279451
M1,recommendation,primary_application,1,1,1.5654255454545454,1.5654255454545454,True,medium,medium,150,121.09829807281494,7858.0,7858.0,65.78337634934388,0.0,44.0,0.00019921424604919132,0.00019921424604919132,0.005562605308517847
M1,shipping,primary_application,1,1,0.6646949999999999,0.6646949999999999,True,medium,medium,150,121.09829807281494,7858.0,7858.0,65.78337634934388,0.0,44.0,8.458831763807583e-05,8.458831763807583e-05,0.002361936628849162
M1,valkey-cart,primary_application,1,1,0.26334863636363637,0.26334863636363637,True,medium,medium,150,121.09829807281494,7858.0,7858.0,65.78337634934388,0.0,44.0,3.351344316157246e-05,3.351344316157246e-05,0.000935786774964083
M2,accounting,primary_application,2,2,0.0,1.8970643742121112,True,medium,medium,150,121.09829807281494,7858.0,7858.0,65.78337634934388,0.0,44.0,0.00024141822018479398,0.00024141822018479398,0.00674105542051076
M2,ad,primary_application,2,2,0.0,0.4591214885604404,True,medium,medium,150,121.09829807281494,7858.0,7858.0,65.78337634934388,0.0,44.0,5.8427270114589e-05,5.8427270114589e-05,0.0016314488012135729
M2,cart,primary_application,2,2,0.0,2.010271469614635,True,medium,medium,150,121.09829807281494,7858.0,7858.0,65.78337634934388,0.0,44.0,0.00025582482433375353,0.00025582482433375353,0.0071433271169682976
M2,checkout,primary_application,2,2,0.0,4.056127657277097,True,medium,medium,150,121.09829807281494,7858.0,7858.0,65.78337634934388,0.0,44.0,0.0005161781187677649,0.0005161781187677649,0.014413101475129069
M2,currency,primary_application,6,6,0.0,38.13567232198202,True,medium,medium,150,121.09829807281494,7858.0,7858.0,65.78337634934388,0.0,44.0,0.004853101593532963,0.004853101593532963,0.135511838246231
M2,email,primary_application,2,2,0.0,0.25324182987736626,True,medium,medium,150,121.09829807281494,7858.0,7858.0,65.78337634934388,0.0,44.0,3.2227262646648796e-05,3.2227262646648796e-05,0.0008998731056260985
M2,flagd,primary_application,3,3,0.0,1.6037594772695745,True,medium,medium,150,121.09829807281494,7858.0,7858.0,65.78337634934388,0.0,44.0,0.00020409257791671856,0.00020409257791671856,0.005698821644855149
M2,fraud-detection,primary_application,2,2,0.0,1.8774580198381814,True,medium,medium,150,121.09829807281494,7858.0,7858.0,65.78337634934388,0.0,44.0,0.00023892313818251227,0.00023892313818251227,0.006671385923141317
M2,frontend,primary_application,2,2,0.0,49.87329792747166,True,medium,medium,150,121.09829807281494,7858.0,7858.0,65.78337634934388,0.0,44.0,0.006346818265140196,0.006346818265140196,0.17722048334409365
M2,frontend-proxy,primary_application,2,2,0.0,8.190410147006824,True,medium,medium,150,121.09829807281494,7858.0,7858.0,65.78337634934388,0.0,44.0,0.0010423021312047371,0.0010423021312047371,0.02910391943901078
M2,image-provider,primary_application,2,2,0.0,0.10750970060432062,True,medium,medium,150,121.09829807281494,7858.0,7858.0,65.78337634934388,0.0,44.0,1.3681560270338588e-05,1.3681560270338588e-05,0.00038202649307419464
M2,kafka,primary_application,2,2,0.0,4.350150448758796,True,medium,medium,150,121.09829807281494,7858.0,7858.0,65.78337634934388,0.0,44.0,0.0005535951194653596,0.0005535951194653596,0.015457886227409593
M2,llm,primary_application,2,2,0.0,2.1495799714222,True,medium,medium,150,121.09829807281494,7858.0,7858.0,65.78337634934388,0.0,44.0,0.0002735530633013744,0.0002735530633013744,0.007638347920689383
M2,load-generator,primary_application,2,2,0.0,107.95864435555691,True,medium,medium,150,121.09829807281494,7858.0,7858.0,65.78337634934388,0.0,44.0,0.013738692333361786,0.013738692333361786,0.3836217761594261
M2,payment,primary_application,2,2,0.0,0.6180523691075074,True,medium,medium,150,121.09829807281494,7858.0,7858.0,65.78337634934388,0.0,44.0,7.865263032673802e-05,7.865263032673802e-05,0.002196196043511722
