Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,2343,0,8,9.78276755361809,4.072438008734025,67.63947400031611,2583.0,19.65042078486665,0.0,8,9,10,11,15,21,35,44,54,68,68
,Aggregated,2343,0,8,9.78276755361809,4.072438008734025,67.63947400031611,2583.0,19.65042078486665,0.0,8,9,10,11,15,21,35,44,54,68,68
